City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Rocha,UY,2022-02-12 20:29:22,-34.4833,-54.3333,66.02,94,100,18.12
224,Lebu,CL,2022-02-12 20:26:51,-37.6167,-73.65,67.35,61,25,11.36
225,Beroroha,MG,2022-02-12 20:26:43,-21.6667,45.1667,81.39,59,51,4.65
226,Tabou,CI,2022-02-12 20:29:23,4.423,-7.3528,78.58,85,5,6.35
227,Lujan,AR,2022-02-12 20:29:23,-34.5703,-59.105,72.68,53,1,1.99
228,Zhangye,CN,2022-02-12 20:29:23,38.9342,100.4517,26.28,64,99,2.37
229,Grand Gaube,MU,2022-02-12 20:29:23,-20.0064,57.6608,81.0,82,7,5.99
230,Beatrice,US,2022-02-12 20:29:24,40.2681,-96.747,39.74,40,0,10.36
231,Hobyo,SO,2022-02-12 20:29:24,5.3505,48.5268,77.13,70,92,15.01
232,Bredasdorp,ZA,2022-02-12 20:30:24,-34.5322,20.0403,69.12,78,100,2.3
233,Belmonte,BR,2022-02-12 20:29:23,-15.8631,-38.8828,82.9,66,48,7.43
234,Flagstaff,US,2022-02-12 20:30:25,35.1981,-111.6513,58.1,18,0,13.8
235,Ilhabela,BR,2022-02-12 20:30:25,-23.7781,-45.3581,75.83,85,75,6.24
236,Saldanha,ZA,2022-02-12 20:30:25,-33.0117,17.9442,68.05,85,100,11.45
237,Wadi Musa,JO,2022-02-12 20:30:25,30.3222,35.4793,45.05,43,0,7.05
238,Puerto Escondido,MX,2022-02-12 20:30:26,15.85,-97.0667,86.83,70,0,5.75
239,Port Lincoln,AU,2022-02-12 20:30:26,-34.7333,135.8667,69.1,49,100,4.76
240,Det Udom,TH,2022-02-12 20:30:26,14.906,105.0784,81.25,64,61,6.98
241,Souillac,MU,2022-02-12 20:30:26,-20.5167,57.5167,80.98,83,40,9.22
242,Vanimo,PG,2022-02-12 20:30:27,-2.6741,141.3028,77.34,87,100,5.95
243,Mahanoro,MG,2022-02-12 20:30:27,-19.9,48.8,73.44,90,48,8.25
244,Iseyin,NG,2022-02-12 20:30:27,7.9667,3.6,84.31,51,64,9.6
245,Tessalit,ML,2022-02-12 20:25:56,20.1986,1.0114,70.59,12,0,8.43
246,Deputatskiy,RU,2022-02-12 20:30:27,69.3,139.9,-9.4,96,100,5.97
247,Okha,RU,2022-02-12 20:30:28,53.5739,142.9478,5.68,94,86,7.63
248,Rorvik,NO,2022-02-12 20:30:28,64.8621,11.2373,33.93,77,100,15.01
249,Andenes,NO,2022-02-12 20:30:28,69.3143,16.1194,26.58,80,10,20.71
250,Kalabo,ZM,2022-02-12 20:30:28,-14.97,22.6814,67.15,91,92,4.56
251,Bay Roberts,CA,2022-02-12 20:30:29,47.5999,-53.2648,46.33,81,88,8.01
252,Chuy,UY,2022-02-12 20:30:29,-33.6971,-53.4616,67.93,97,100,9.31
253,Fort Frances,CA,2022-02-12 20:30:29,48.5999,-93.4003,-2.94,60,100,4.61
254,Kurtamysh,RU,2022-02-12 20:30:29,54.9103,64.4319,2.19,99,100,1.79
255,Touros,BR,2022-02-12 20:26:45,-5.1989,-35.4608,86.9,72,33,9.98
256,Altay,CN,2022-02-12 20:30:30,47.8667,88.1167,10.94,82,100,2.8
257,Gravdal,NO,2022-02-12 20:30:30,68.1214,13.5031,31.66,67,88,8.52
258,Bom Jesus,BR,2022-02-12 20:30:30,-9.0744,-44.3586,79.86,72,79,4.27
259,Coruripe,BR,2022-02-12 20:30:31,-10.1256,-36.1756,80.83,74,2,14.12
260,Hambantota,LK,2022-02-12 20:30:31,6.1241,81.1185,76.14,85,80,9.55
261,Provideniya,RU,2022-02-12 20:30:31,64.3833,-173.3,-9.72,81,11,5.12
262,Merke,KZ,2022-02-12 20:30:32,42.8728,73.1786,28.08,84,100,4.41
263,San Rafael,AR,2022-02-12 20:26:42,-34.6177,-68.3301,75.72,22,0,12.57
264,Kortkeros,RU,2022-02-12 20:30:32,61.8106,51.5806,23.18,97,99,4.63
265,Aquiraz,BR,2022-02-12 20:30:32,-3.9014,-38.3911,84.29,80,55,7.4
266,Saryg-Sep,RU,2022-02-12 20:30:33,51.5,95.6,-26.23,99,93,2.98
267,Kushima,JP,2022-02-12 20:30:33,31.4583,131.2333,54.07,96,100,2.06
268,Mortka,RU,2022-02-12 20:30:33,59.3322,66.0214,-4.2,100,93,3.24
269,Solnechnyy,RU,2022-02-12 20:30:34,50.7214,136.6319,10.15,94,100,6.98
270,Hervey Bay,AU,2022-02-12 20:30:34,-25.2986,152.8535,69.04,60,37,19.08
271,Zunyi,CN,2022-02-12 20:30:34,27.6867,106.9072,34.88,100,100,1.59
272,Jiwani,PK,2022-02-12 20:31:34,25.05,61.7417,70.47,63,0,10.13
273,Moose Factory,CA,2022-02-12 20:31:35,51.2585,-80.6094,-5.8,54,0,16.11
274,Braco Do Norte,BR,2022-02-12 20:31:35,-28.275,-49.1656,80.6,62,0,4.12
275,Guilin,CN,2022-02-12 20:31:35,25.2819,110.2864,42.91,90,100,5.39
276,Turangi,NZ,2022-02-12 20:31:36,-39.0,175.9333,65.43,99,100,5.46
277,Half Moon Bay,US,2022-02-12 20:31:36,37.4636,-122.4286,80.15,46,40,0.0
278,Udachnyy,RU,2022-02-12 20:31:36,66.4167,112.4,-17.34,100,91,2.89
279,Hovd,MN,2022-02-12 20:31:37,48.0056,91.6419,-17.79,83,66,3.38
280,Taldan,RU,2022-02-12 20:31:37,53.6667,124.8,-16.4,96,85,3.22
281,Pangkalanbuun,ID,2022-02-12 20:31:37,-2.6833,111.6167,73.53,92,100,1.52
282,Tigre,AR,2022-02-12 20:31:37,-34.426,-58.5796,73.06,56,75,10.36
283,Rexburg,US,2022-02-12 20:31:38,43.826,-111.7897,31.26,63,0,0.0
284,Maloy,NO,2022-02-12 20:31:38,61.9353,5.1136,42.53,92,100,8.99
285,Mineral Wells,US,2022-02-12 20:31:38,32.8085,-98.1128,47.64,21,0,14.97
286,La Primavera,CO,2022-02-12 20:31:38,5.4906,-70.4092,93.45,32,100,8.41
287,Westport,US,2022-02-12 20:26:40,41.1415,-73.3579,59.04,41,0,11.5
288,Cherkasskoye,RU,2022-02-12 20:31:39,52.4333,47.2167,18.7,96,100,4.65
289,Buala,SB,2022-02-12 20:31:39,-8.145,159.5921,79.56,81,100,2.51
290,Mitsamiouli,KM,2022-02-12 20:31:40,-11.3847,43.2844,79.12,79,100,7.45
291,Kruisfontein,ZA,2022-02-12 20:31:40,-34.0033,24.7314,72.1,91,95,9.64
292,Mendi,PG,2022-02-12 20:31:40,-6.1761,143.6513,52.81,92,66,2.48
